Booking date;Amount;Sender;Recipient;Name;Title;Message;Reference number;Balance;Currency;
2025/09/10;800,00;;FI69 2000 4200 0420 42;ALEX ROWAN NGUYEN;ALEX ROWAN NGUYEN;;;123,45;EUR;
2025/09/10;-39,66;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2025/09/14;-26,30;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2025/09/15;800,00;;FI69 2000 4200 0420 42;SAM MILLER;SAM MILLER;;;123,45;EUR;
2025/09/17;-58,53;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2025/09/18;-62,63;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2025/09/19;-31,25;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2025/09/20;-17,50;FI69 2000 4200 0420 42;;;Elisa Oyj;HELSINKI;654123;123,45;EUR;
2025/09/20;-27,09;FI69 2000 4200 0420 42;;;VFI*CAFE MAKKARA OY;HELSINKI;654123;123,45;EUR;
2025/09/22;-52,35;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2025/09/24;-56,06;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2025/09/26;-44,06;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2025/09/5;-43,64;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2025/09/5;-44,31;FI69 2000 4200 0420 42;;;VFI*CAFE MAKKARA OY;HELSINKI;654123;123,45;EUR;
2025/09/7;-72,92;FI69 2000 4200 0420 42;;;Helen Oy;HELSINKI;654123;123,45;EUR;
2025/09/7;-842,00;FI69 2000 4200 0420 42;;;Sun Koti Oy;HELSINKI;654123;123,45;EUR;
2025/09/7;-12,99;FI69 2000 4200 0420 42;;;NETFLIX INTERNATIONAL B.V;HELSINKI;123456;123,45;EUR;
2025/09/7;-9,99;FI69 2000 4200 0420 42;;;SPOTIFY AB;HELSINKI;123456;123,45;EUR;
2025/09/8;-28,40;FI69 2000 4200 0420 42;;;LIDL HELSINKI HERTTONIEMI;HELSINKI;654123;123,45;EUR;
