Booking date;Amount;Sender;Recipient;Name;Title;Message;Reference number;Balance;Currency;
2025/10/10;800,00;;FI69 2000 4200 0420 42;ALEX ROWAN NGUYEN;ALEX ROWAN NGUYEN;;;123,45;EUR;
2025/10/11;-44,53;FI69 2000 4200 0420 42;;;RAVINTOLA KABUK;HELSINKI;654123;123,45;EUR;
2025/10/15;800,00;;FI69 2000 4200 0420 42;SAM MILLER;SAM MILLER;;;123,45;EUR;
2025/10/16;-25,47;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2025/10/16;-23,00;FI69 2000 4200 0420 42;;;VFI*CAFE MAKKARA OY;HELSINKI;654123;123,45;EUR;
2025/10/17;-45,71;FI69 2000 4200 0420 42;;;LIDL HELSINKI HERTTONIEMI;HELSINKI;654123;123,45;EUR;
2025/10/17;-20,29;FI69 2000 4200 0420 42;;;PUOTILAN KARTANO;HELSINKI;654123;123,45;EUR;
2025/10/20;-17,50;FI69 2000 4200 0420 42;;;Elisa Oyj;HELSINKI;654123;123,45;EUR;
2025/10/22;-57,49;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2025/10/24;-57,83;FI69 2000 4200 0420 42;;;LIDL HELSINKI HERTTONIEMI;HELSINKI;654123;123,45;EUR;
2025/10/25;-64,54;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2025/10/26;-51,19;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2025/10/30;-55,82;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2025/10/7;-75,59;FI69 2000 4200 0420 42;;;Helen Oy;HELSINKI;654123;123,45;EUR;
2025/10/7;-842,00;FI69 2000 4200 0420 42;;;Sun Koti Oy;HELSINKI;654123;123,45;EUR;
2025/10/7;-12,99;FI69 2000 4200 0420 42;;;NETFLIX INTERNATIONAL B.V;HELSINKI;123456;123,45;EUR;
2025/10/7;-9,99;FI69 2000 4200 0420 42;;;SPOTIFY AB;HELSINKI;123456;123,45;EUR;
2025/10/8;-48,96;FI69 2000 4200 0420 42;;;LIDL HELSINKI HERTTONIEMI;HELSINKI;654123;123,45;EUR;
2025/10/8;-3,50;FI69 2000 4200 0420 42;;;EasyPark;HELSINKI;21354;123,45;EUR;
2025/10/9;-57,15;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
