Booking date;Amount;Sender;Recipient;Name;Title;Message;Reference number;Balance;Currency;
2024/11/10;800,00;;FI69 2000 4200 0420 42;ALEX ROWAN NGUYEN;ALEX ROWAN NGUYEN;;;123,45;EUR;
2024/11/11;-53,50;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/11/13;-36,08;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/11/13;-3,70;FI69 2000 4200 0420 42;;;EasyPark;HELSINKI;21354;123,45;EUR;
2024/11/14;-58,90;FI69 2000 4200 0420 42;;;LIDL HELSINKI HERTTONIEMI;HELSINKI;654123;123,45;EUR;
2024/11/15;800,00;;FI69 2000 4200 0420 42;SAM MILLER;SAM MILLER;;;123,45;EUR;
2024/11/16;-57,90;FI69 2000 4200 0420 42;;;LIDL HELSINKI HERTTONIEMI;HELSINKI;654123;123,45;EUR;
2024/11/2;-31,38;FI69 2000 4200 0420 42;;;PUOTILAN KARTANO;HELSINKI;654123;123,45;EUR;
2024/11/20;-14,95;FI69 2000 4200 0420 42;;;Elisa Oyj;HELSINKI;654123;123,45;EUR;
2024/11/21;-39,45;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2024/11/22;-61,54;FI69 2000 4200 0420 42;;;NESTE EXPRESS HEL VIIK;HELSINKI;21354;123,45;EUR;
2024/11/23;-59,51;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/11/24;-52,92;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/11/28;-60,18;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2024/11/4;-43,32;FI69 2000 4200 0420 42;;;RAVINTOLA KABUK;HELSINKI;654123;123,45;EUR;
2024/11/6;-40,73;FI69 2000 4200 0420 42;;;RAVINTOLA KABUK;HELSINKI;654123;123,45;EUR;
2024/11/7;-78,35;FI69 2000 4200 0420 42;;;Helen Oy;HELSINKI;654123;123,45;EUR;
2024/11/7;-842,00;FI69 2000 4200 0420 42;;;Sun Koti Oy;HELSINKI;654123;123,45;EUR;
2024/11/7;-12,99;FI69 2000 4200 0420 42;;;NETFLIX INTERNATIONAL B.V;HELSINKI;123456;123,45;EUR;
2024/11/7;-9,99;FI69 2000 4200 0420 42;;;SPOTIFY AB;HELSINKI;123456;123,45;EUR;
