Booking date;Amount;Sender;Recipient;Name;Title;Message;Reference number;Balance;Currency;
2024/12/10;800,00;;FI69 2000 4200 0420 42;ALEX ROWAN NGUYEN;ALEX ROWAN NGUYEN;;;123,45;EUR;
2024/12/14;-39,36;FI69 2000 4200 0420 42;;;LIDL HELSINKI HERTTONIEMI;HELSINKI;654123;123,45;EUR;
2024/12/14;-32,70;FI69 2000 4200 0420 42;;;ESPRESSO HOUSE 6543;HELSINKI;654123;123,45;EUR;
2024/12/15;800,00;;FI69 2000 4200 0420 42;SAM MILLER;SAM MILLER;;;123,45;EUR;
2024/12/15;-33,49;FI69 2000 4200 0420 42;;;LIDL HELSINKI HERTTONIEMI;HELSINKI;654123;123,45;EUR;
2024/12/19;-29,48;FI69 2000 4200 0420 42;;;ESPRESSO HOUSE 6543;HELSINKI;654123;123,45;EUR;
2024/12/2;-44,54;FI69 2000 4200 0420 42;;;NESTE EXPRESS HEL VIIK;HELSINKI;21354;123,45;EUR;
2024/12/20;-14,95;FI69 2000 4200 0420 42;;;Elisa Oyj;HELSINKI;654123;123,45;EUR;
2024/12/20;-35,85;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/12/21;-55,26;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2024/12/22;-26,99;FI69 2000 4200 0420 42;;;LIDL HELSINKI HERTTONIEMI;HELSINKI;654123;123,45;EUR;
2024/12/23;-37,68;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2024/12/28;-28,91;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/12/29;-52,98;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2024/12/30;-41,46;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2024/12/31;-38,87;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/12/7;-77,81;FI69 2000 4200 0420 42;;;Helen Oy;HELSINKI;654123;123,45;EUR;
2024/12/7;-842,00;FI69 2000 4200 0420 42;;;Sun Koti Oy;HELSINKI;654123;123,45;EUR;
2024/12/7;-12,99;FI69 2000 4200 0420 42;;;NETFLIX INTERNATIONAL B.V;HELSINKI;123456;123,45;EUR;
2024/12/7;-9,99;FI69 2000 4200 0420 42;;;SPOTIFY AB;HELSINKI;123456;123,45;EUR;
2024/12/7;-54,67;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2024/12/9;-54,71;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
