Booking date;Amount;Sender;Recipient;Name;Title;Message;Reference number;Balance;Currency;
2024/07/10;800,00;;FI69 2000 4200 0420 42;ALEX ROWAN NGUYEN;ALEX ROWAN NGUYEN;;;123,45;EUR;
2024/07/11;-26,23;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2024/07/12;-42,29;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2024/07/15;800,00;;FI69 2000 4200 0420 42;SAM MILLER;SAM MILLER;;;123,45;EUR;
2024/07/15;-36,13;FI69 2000 4200 0420 42;;;LIDL HELSINKI HERTTONIEMI;HELSINKI;654123;123,45;EUR;
2024/07/16;-27,42;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/07/17;-47,02;FI69 2000 4200 0420 42;;;LIDL HELSINKI HERTTONIEMI;HELSINKI;654123;123,45;EUR;
2024/07/20;-14,95;FI69 2000 4200 0420 42;;;Elisa Oyj;HELSINKI;654123;123,45;EUR;
2024/07/21;-43,55;FI69 2000 4200 0420 42;;;LIDL HELSINKI HERTTONIEMI;HELSINKI;654123;123,45;EUR;
2024/07/23;-27,64;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2024/07/24;-36,44;FI69 2000 4200 0420 42;;;Fat Lizard Otaniemi - 789;HELSINKI;654123;123,45;EUR;
2024/07/25;-34,53;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2024/07/27;-30,59;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/07/30;-41,60;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/07/4;-45,82;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/07/4;-30,94;FI69 2000 4200 0420 42;;;VFI*CAFE MAKKARA OY;HELSINKI;654123;123,45;EUR;
2024/07/7;-71,15;FI69 2000 4200 0420 42;;;Helen Oy;HELSINKI;654123;123,45;EUR;
2024/07/7;-775,00;FI69 2000 4200 0420 42;;;Sun Koti Oy;HELSINKI;654123;123,45;EUR;
2024/07/7;-12,99;FI69 2000 4200 0420 42;;;NETFLIX INTERNATIONAL B.V;HELSINKI;123456;123,45;EUR;
2024/07/7;-9,99;FI69 2000 4200 0420 42;;;SPOTIFY AB;HELSINKI;123456;123,45;EUR;
2024/07/8;-44,37;FI69 2000 4200 0420 42;;;LIDL HELSINKI HERTTONIEMI;HELSINKI;654123;123,45;EUR;
