Booking date;Amount;Sender;Recipient;Name;Title;Message;Reference number;Balance;Currency;
2024/08/1;-36,86;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/08/10;800,00;;FI69 2000 4200 0420 42;ALEX ROWAN NGUYEN;ALEX ROWAN NGUYEN;;;123,45;EUR;
2024/08/10;-34,70;FI69 2000 4200 0420 42;;;LIDL HELSINKI HERTTONIEMI;HELSINKI;654123;123,45;EUR;
2024/08/10;-48,53;FI69 2000 4200 0420 42;;;ESPRESSO HOUSE 6543;HELSINKI;654123;123,45;EUR;
2024/08/12;-49,09;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/08/13;-40,81;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2024/08/15;600,00;;FI69 2000 4200 0420 42;SAM MILLER;SAM MILLER;;;123,45;EUR;
2024/08/19;-3,36;FI69 2000 4200 0420 42;;;EasyPark;HELSINKI;21354;123,45;EUR;
2024/08/2;-64,77;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/08/20;-14,95;FI69 2000 4200 0420 42;;;Elisa Oyj;HELSINKI;654123;123,45;EUR;
2024/08/22;-40,41;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/08/23;-62,32;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
2024/08/25;-55,56;FI69 2000 4200 0420 42;;;LIDL HELSINKI HERTTONIEMI;HELSINKI;654123;123,45;EUR;
2024/08/28;-54,11;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/08/30;-30,26;FI69 2000 4200 0420 42;;;ALEPA ERATORI;HELSINKI;984765;123,45;EUR;
2024/08/7;-75,95;FI69 2000 4200 0420 42;;;Helen Oy;HELSINKI;654123;123,45;EUR;
2024/08/7;-842,00;FI69 2000 4200 0420 42;;;Sun Koti Oy;HELSINKI;654123;123,45;EUR;
2024/08/7;-12,99;FI69 2000 4200 0420 42;;;NETFLIX INTERNATIONAL B.V;HELSINKI;123456;123,45;EUR;
2024/08/7;-9,99;FI69 2000 4200 0420 42;;;SPOTIFY AB;HELSINKI;123456;123,45;EUR;
2024/08/8;-54,16;FI69 2000 4200 0420 42;;;ALEPA VUOSAARI;HELSINKI;21354;123,45;EUR;
